,hog,optical,right,left,move
222,0.0,0,1,0,-1
223,0.0,0,1,0,-1
224,1.2,558,1,0,-1
225,1.1,542,1,0,-1
226,1.3,809,1,0,-1
227,1.2,686,1,0,-1
228,1.2,670,1,0,-1
229,0.8,938,1,0,-1
230,1.7,526,1,0,-1
231,1.8,772,1,0,-1
232,1.5,1363,1,0,-1
233,2.1,1784,1,0,-1
234,1.4,2303,1,0,-1
235,2.8,2540,1,0,-1
236,2.4,1889,1,0,-1
237,1.6,1525,1,0,-1
238,2.8,1389,1,0,-1
239,3.2,1286,1,0,-1
240,2.8,547,1,0,-1
241,2.5,392,1,0,-1
242,2.0,570,1,0,-1
243,2.1,520,1,0,-1
244,2.4,578,1,0,-1
245,2.3,632,1,0,-1
246,2.7,743,1,0,-1
247,0.9,797,1,0,-1
248,1.5,1285,1,0,-1
249,2.9,1812,1,0,-1
250,2.1,883,1,0,-1
251,3.6,422,1,0,0
252,2.5,221,1,0,0
